Province/State,Country/Region,Lat,Long,4/20/20
Georgia,US,31.76095874,-83.22145359,15
Georgia,US,31.27590016,-83.22529920000002,10
Georgia,US,32.80904227,-83.70489165,203
Georgia,US,32.43829035,-83.33035166,5
Georgia,US,31.19576557,-81.97743999,20
Georgia,US,30.83922642,-83.58303423,23
Georgia,US,32.00979311,-81.44002948,35
Georgia,US,32.39577406,-81.74811421,30
Georgia,US,33.05917989,-81.99928721,48
Georgia,US,33.283094500000004,-83.95435040000002,80
Georgia,US,31.53169785,-84.62725131,61
Georgia,US,30.92951916,-81.66601818,27
Georgia,US,32.40209349,-82.07702563,7
Georgia,US,33.58138199,-85.07976677,305
Georgia,US,34.89872298,-85.13757014,23
Georgia,US,30.78371028,-82.13951596,6
Georgia,US,32.00043026,-81.12489526,185
Georgia,US,32.34341231,-84.78809239,7
Georgia,US,34.47197698,-85.34535662,9
Georgia,US,34.24393976,-84.47431861,317
